Name,Type,Category,PIDs,Quantities
Chickpea Tomato Coriander Bowl,Lunch,Vegetarian,"84;262;202;320","120 g;100 g;8 g;10 ml"
Chicken Olive Lemon Salad,Lunch,Low-Carb,"309;228;259;198;320","150 g;35 g;100 g;20 g;10 ml"
Beef Cucumber Olive Bowl,Lunch,Low-Carb,"310;201;228;320","140 g;110 g;35 g;10 ml"
Mutton Potato Onion Plate,Lunch,Gluten-Free,"311;249;227;320","140 g;150 g;70 g;10 ml"
Lamb Zucchini Pepper Bowl,Lunch,Low-Carb,"312;204;247;320","140 g;120 g;80 g;10 ml"
Sardine Chickpea Tomato Bowl,Lunch,High-Protein,"314;84;262;320","130 g;110 g;90 g;10 ml"
Tuna Chickpea Mint Salad,Lunch,High-Protein,"112;84;223;320","120 g;110 g;6 g;10 ml"
Shrimp Green Bean Rice,Lunch,High-Protein,"319;214;81;320","140 g;100 g;170 g;10 ml"
Chicken Harissa Rice Bowl,Lunch,High-Protein,"309;81;129;320","150 g;180 g;5 g;10 ml"
Chorba Frik Style Chicken,Dinner,Gluten-Free,"307;309;227;191;262;320","90 g;140 g;60 g;80 g;80 g;10 ml"
Chorba Vermicelle Beef,Dinner,High-Protein,"17;310;227;191;262;320","90 g;140 g;60 g;80 g;80 g;10 ml"
Chorba Lentil Lamb,Dinner,High-Protein,"86;312;227;191;320","110 g;140 g;60 g;90 g;10 ml"
Rechta-Style Chicken Bowl,Dinner,High-Protein,"62;309;227;262;320","120 g;150 g;60 g;90 g;10 ml"
Tlitli Chicken Dinner,Dinner,High-Protein,"51;309;191;320","120 g;150 g;90 g;10 ml"
Tlitli Beef Dinner,Dinner,High-Protein,"51;310;227;320","120 g;140 g;60 g;10 ml"
Couscous Sardine Dinner,Dinner,Gluten-Free,"9;314;262;320","220 g;140 g;90 g;10 ml"
Couscous Shrimp Dinner,Dinner,High-Protein,"9;319;262;320","220 g;140 g;90 g;10 ml"
Couscous Daurade Dinner,Dinner,High-Protein,"9;316;262;320","220 g;150 g;90 g;10 ml"
Beef Loubia Stew,Dinner,High-Protein,"310;79;227;262;320","140 g;110 g;60 g;80 g;10 ml"
Lamb Chickpea Stew,Dinner,High-Protein,"312;84;227;262;320","140 g;110 g;60 g;80 g;10 ml"
Mutton Vegetable Stew,Dinner,Low-Carb,"311;191;204;262;320","140 g;80 g;90 g;80 g;10 ml"
Chicken Pepper Olive Pan,Dinner,Low-Carb,"309;247;228;320","150 g;90 g;35 g;10 ml"
Beef Spinach Garlic Pan,Dinner,Low-Carb,"310;207;179;320","140 g;110 g;3 g;10 ml"
Shrimp Tomato Garlic Pan,Dinner,Low-Carb,"319;262;179;320","150 g;100 g;3 g;10 ml"
Sardine Tomato Garlic Plate,Dinner,Low-Carb,"314;262;179;320","140 g;100 g;3 g;10 ml"
Merlan Lemon Olive Plate,Dinner,Low-Carb,"317;198;228;320","150 g;20 g;35 g;8 ml"
Daurade Pepper Plate,Dinner,Low-Carb,"316;247;179;320","150 g;90 g;3 g;8 ml"
Chicken Cauliflower Dinner,Dinner,Low-Carb,"309;195;227;320","150 g;120 g;60 g;10 ml"
Beef Broccoli Dinner,Dinner,Low-Carb,"310;188;179;320","140 g;120 g;3 g;10 ml"
Lamb Zucchini Dinner,Dinner,Low-Carb,"312;204;227;320","140 g;120 g;60 g;10 ml"
Mutton Carrot Pea Dinner,Dinner,Gluten-Free,"311;191;240;320","140 g;90 g;90 g;10 ml"
Chicken Lentil Spinach Dinner,Dinner,High-Protein,"309;86;207;320","150 g;100 g;90 g;10 ml"
Beef Chickpea Tomato Dinner,Dinner,High-Protein,"310;84;262;320","140 g;110 g;90 g;10 ml"
Shrimp Chickpea Harissa Dinner,Dinner,High-Protein,"319;84;129;320","150 g;100 g;4 g;10 ml"
Sardine Rice Coriander Dinner,Dinner,Gluten-Free,"314;81;202;320","140 g;170 g;8 g;10 ml"
Tuna Vegetable Couscous Dinner,Dinner,High-Protein,"112;9;191;204;320","120 g;220 g;80 g;90 g;10 ml"
Chicken Green Bean Rice Dinner,Dinner,High-Protein,"309;214;81;320","150 g;100 g;170 g;10 ml"
Beef Mushroom Pepper Dinner,Dinner,Low-Carb,"310;193;247;320","140 g;90 g;80 g;10 ml"
Lamb Olive Tomato Dinner,Dinner,Low-Carb,"312;228;262;320","140 g;35 g;90 g;10 ml"
Merlan Spinach Tomato Dinner,Dinner,Low-Carb,"317;207;262;320","150 g;100 g;90 g;8 ml"
Daurade Zucchini Olive Dinner,Dinner,Low-Carb,"316;204;228;320","150 g;120 g;35 g;8 ml"
Vegetable Chakchouka,Breakfast,Vegetarian,"262;227;247;129;320","140 g;60 g;80 g;5 g;8 ml"
Algerian Mint Tomato Salad,Breakfast,Vegetarian,"262;201;223;228;320","100 g;120 g;5 g;30 g;6 ml"
Couscous aux Legumes,Lunch,Vegetarian,"9;191;204;227;262;320","220 g;90 g;100 g;60 g;80 g;10 ml"
Chickpea Tomato Stew,Lunch,Vegetarian,"84;262;227;320","120 g;120 g;60 g;10 ml"
Lentil Vegetable Soup,Lunch,Vegetarian,"86;191;262;227;320","110 g;80 g;100 g;60 g;8 ml"
Rice with Peas and Carrots,Lunch,Vegetarian,"81;240;191;227;320","180 g;90 g;80 g;40 g;10 ml"
Zucchini Chickpea Skillet,Lunch,Vegetarian,"84;204;262;320","120 g;120 g;80 g;10 ml"
Broccoli Cauliflower Rice Bowl,Lunch,Vegetarian,"81;188;195;227;320","180 g;100 g;100 g;40 g;10 ml"
Spinach Lentil Bowl,Lunch,Vegetarian,"86;207;262;320","110 g;100 g;80 g;10 ml"
Potato Carrot Pea Pan,Dinner,Vegetarian,"249;191;240;227;320","150 g;90 g;80 g;50 g;10 ml"
Vegetable Couscous,Dinner,Vegetarian,"9;191;204;195;227;320","220 g;80 g;100 g;80 g;60 g;10 ml"
Eggplant Tomato Skillet,Dinner,Vegetarian,"184;262;227;320","150 g;120 g;60 g;10 ml"
Green Bean Rice Bowl,Dinner,Vegetarian,"81;214;262;320","180 g;110 g;90 g;10 ml"
Cucumber Olive Salad,Lunch,Vegetarian,"201;259;228;223;320","120 g;100 g;35 g;6 g;8 ml"
Beet Carrot Salad,Breakfast,Vegetarian,"187;191;223;320","100 g;80 g;5 g;6 ml"
Loubia Tomato Bowl,Lunch,Vegetarian,"79;262;227;320","120 g;120 g;60 g;10 ml"
Stuffed Pepper Rice,Dinner,Vegetarian,"81;247;262;227;320","180 g;120 g;100 g;50 g;10 ml"
Chickpea Spinach Rice,Dinner,Vegetarian,"81;84;207;227;320","180 g;120 g;100 g;40 g;10 ml"
Zucchini Tomato Couscous,Dinner,Vegetarian,"9;204;262;227;320","220 g;120 g;100 g;60 g;10 ml"
